Artist,Listeners,Daily +/-,Peak,PkListeners
Bruno Mars,"130,345,721","-90,799",1,"151,079,821"
The Weeknd,"116,545,877","-61,067",1,"126,192,069"
Lady Gaga,"114,071,832","-35,851",2,"124,637,761"
Billie Eilish,"100,438,598","3,200",1,"108,297,865"
Coldplay,"92,937,627","135,031",4,"96,459,910"
Kendrick Lamar,"92,324,826","-246,791",4,"112,091,210"
Rihanna,"89,116,884","208,729",2,"91,529,958"
Ed Sheeran,"86,414,338","396,145",2,"94,810,774"
Ariana Grande,"83,123,841","-161,847",2,"123,700,287"
Taylor Swift,"82,449,421","-13,270",1,"116,229,071"
Bad Bunny,"81,773,532","-126,673",3,"95,350,887"
SZA,"81,719,264","-144,189",6,"97,852,020"
Drake,"80,002,388","74,271",3,"86,591,246"
Justin Bieber,"79,836,479","146,188",3,"104,411,890"
David Guetta,"75,190,718","147,919",4,"80,447,076"
Dua Lipa,"69,017,399","-24,577",3,"78,673,675"
Eminem,"68,644,768","-21,773",5,"86,389,533"
Post Malone,"68,597,989","190,376",3,"98,466,468"
Calvin Harris,"67,607,135","104,539",13,"73,882,008"
Sabrina Carpenter,"66,573,597","-21,061",4,"90,844,193"
Sia,"65,863,333","43,846",8,"93,545,630"
Maroon 5,"65,615,696","143,192",21,"65,980,957"
Travis Scott,"65,061,928","-48,388",6,"75,557,671"
Shakira,"64,664,819","-1,609",3,"82,268,835"
J Balvin,"64,588,426","25,014",22,"65,323,505"
Katy Perry,"62,821,552","262,300",23,"65,618,321"
Pitbull,"62,677,852","13,684",26,"62,885,080"
Lana Del Rey,"62,455,403","139,425",22,"64,952,989"
Kanye West,"62,377,047","-25,324",6,"78,581,428"
Miley Cyrus,"58,978,921","76,670",2,"84,140,935"
Future,"56,976,283","-102,439",22,"65,628,348"
Adele,"56,723,095","64,831",23,"62,764,213"
Beyoncé,"56,708,085","37,721",6,"78,122,541"
Chris Brown,"56,154,303","-13,049",25,"56,268,608"
Imagine Dragons,"55,688,861","113,305",18,"62,801,774"
Arctic Monkeys,"54,877,403","130,562",36,"56,618,863"
Selena Gomez,"54,874,936","-185,602",22,"58,879,269"
Playboi Carti,"54,767,700","-204,721",27,"62,424,456"
Doja Cat,"53,993,634","-82,586",5,"76,357,864"
Benson Boone,"52,764,373","120,324",31,"60,310,612"
Daddy Yankee,"52,679,410","88,487",22,"58,098,739"
OneRepublic,"52,443,684","197,813",23,"64,167,172"
Marshmello,"51,460,729","26,665",11,"68,947,085"
Teddy Swims,"50,698,242","-13,164",44,"51,616,484"
Gracie Abrams,"50,352,819","17,327",43,"51,497,815"
Sam Smith,"50,014,253","66,945",7,"73,972,799"
KAROL G,"49,735,108","23,772",21,"63,139,763"
JENNIE,"49,689,386","20,742",42,"51,284,235"
Tate McRae,"49,438,896","-12,204",26,"59,945,963"
Queen,"49,341,548","108,458",29,"64,087,998"
Doechii,"49,196,920","-281,024",29,"60,581,257"
Rauw Alejandro,"49,039,029","-5,767",34,"55,799,543"
Khalid,"48,945,689","-11,084",28,"55,253,946"
Linkin Park,"48,523,267","-6,060",29,"60,369,972"
Hozier,"48,342,606","-13,278",32,"57,616,097"
Halsey,"48,283,909","14,355",48,"48,442,254"
The Chainsmokers,"48,113,673","85,620",47,"50,559,085"
ROSÉ,"47,767,416","-307,412",17,"71,124,800"
Elton John,"47,682,743","-28,444",16,"72,669,137"
Olivia Rodrigo,"47,135,360","-47,727",18,"64,128,148"
Lil Wayne,"47,057,185","38,291",43,"52,904,090"
Michael Jackson,"46,801,356","22,187",35,"55,663,612"
Arijit Singh,"46,184,445","32,719",57,"46,184,445"
Nicki Minaj,"45,953,162","77,864",18,"65,680,733"
Black Eyed Peas,"45,919,977","110,041",57,"45,919,977"
Harry Styles,"45,916,689","5,059",13,"66,411,599"
Camila Cabello,"45,162,048","100,441",57,"48,063,760"
Chappell Roan,"44,551,424","-49,351",59,"47,103,266"
Metro Boomin,"44,258,909","-139,947",17,"64,728,517"
One Direction,"44,193,317","98,957",26,"61,154,815"
21 Savage,"43,924,522","-75,402",17,"66,771,445"
"Tyler, The Creator","43,924,377","8,505",43,"52,930,766"
Shawn Mendes,"43,409,123","157,420",45,"49,285,295"
Peso Pluma,"43,402,192","14,333",27,"59,429,724"
Maluma,"43,363,247","41,472",56,"47,177,187"
Shreya Ghoshal,"42,942,839","93,023",72,"42,942,839"
USHER,"42,845,297","87,501",47,"51,216,038"
Justin Timberlake,"42,816,762","-29,426",57,"46,918,730"
Sean Paul,"42,794,988","249,471",66,"42,794,988"
Ellie Goulding,"42,718,994","48,624",51,"45,626,754"
Ozuna,"42,395,760","-18,111",40,"51,532,028"
Pritam,"42,020,314","57,567",75,"42,020,314"
Ne-Yo,"41,618,288","-3,685",79,"41,994,140"
Ty Dolla $ign,"41,401,007","-251,459",40,"52,532,512"
Wiz Khalifa,"40,900,521","93,625",85,"40,900,521"
Britney Spears,"40,626,831","91,484",48,"54,776,119"
The Neighbourhood,"40,565,189","14,626",62,"45,186,994"
Lola Young,"40,346,928","8,204",63,"45,503,184"
Kesha,"39,654,916","-37,838",58,"51,088,856"
Don Omar,"39,044,999","56,963",89,"39,044,999"
Alex Warren,"38,973,708","125,072",91,"38,973,708"
Myke Towers,"38,745,093","-34,764",48,"47,235,005"
Avicii,"38,732,446","104,223",68,"43,468,577"
Tiësto,"38,340,442","81,660",38,"53,621,311"
Madonna,"38,229,952","-21,214",50,"48,192,778"
A.R. Rahman,"37,968,679","-5,932",87,"38,979,250"
Feid,"37,950,446","-6,293",53,"46,407,503"
P!nk,"37,597,867","72,517",68,"37,814,655"
Morgan Wallen,"37,572,834","79,446",59,"46,385,773"
50 Cent,"37,554,092","63,608",79,"40,126,544"
PARTYNEXTDOOR,"37,470,350","83,093",91,"38,820,076"
A$AP Rocky,"37,344,023","-28,319",91,"38,053,171"
DJ Snake,"37,305,127","150,884",94,"37,610,999"
Fleetwood Mac,"37,281,763","103,435",97,"37,281,763"
Kali Uchis,"36,934,513","7,529",49,"48,511,206"
The Marías,"36,655,312","-14,118",106,"36,682,095"
Red Hot Chili Peppers,"36,283,724","32,095",81,"39,602,017"
Frank Ocean,"36,244,817","75,054",96,"37,385,637"
Cris Mj,"36,155,573","113,428",52,"49,896,640"
Flo Rida,"35,675,066","-79,756",97,"37,069,903"
Anitta,"35,580,885","-26,133",99,"45,678,504"
benny blanco,"35,559,808","-156,762",99,"37,348,214"
James Arthur,"35,395,625","137,039",69,"40,276,141"
J. Cole,"35,148,486","-30,580",45,"48,760,887"
The Kid LAROI,"35,112,135","-46,125",50,"46,982,806"
Pharrell Williams,"35,034,649","108,956",90,"37,520,208"
Swae Lee,"34,961,419","65,556",51,"47,431,521"
Farruko,"34,791,985","40,548",64,"39,498,431"
AC/DC,"34,561,565","164,130",77,"40,609,655"
Twenty One Pilots,"34,384,794","243,289",118,"34,384,794"
Don Toliver,"34,207,036","16,828",85,"38,943,885"
JAY-Z,"34,086,274","65,733",66,"38,587,931"
The Police,"33,979,213","106,120",120,"34,009,217"
Green Day,"33,912,711","93,218",96,"36,657,007"
Romeo Santos,"33,845,804","26,092",97,"37,325,349"
Nirvana,"33,825,420","63,742",122,"33,825,420"
Manuel Turizo,"33,769,586","-25,612",66,"39,587,171"
Ovy On The Drums,"33,593,231","151,531",128,"33,593,231"
Bebe Rexha,"33,553,197","-116,765",37,"49,496,274"
XXXTENTACION,"33,515,259","21,370",67,"42,898,057"
Nicky Jam,"33,361,431","63,487",128,"33,361,431"
Grupo Frontera,"33,215,684","-71,053",64,"39,234,817"
The Beatles,"33,128,259","52,008",78,"37,399,629"
Charlie Puth,"33,069,100","139,685",58,"42,603,508"
Empire Of The Sun,"32,969,176","108,928",135,"32,969,176"
Anne-Marie,"32,964,682","152,480",61,"41,501,481"
Fuerza Regida,"32,841,996","11,132",105,"35,789,194"
Disney,"32,800,857","-35,088",124,"33,285,716"
Charli xcx,"32,794,591","175,460",56,"46,491,335"
Gunna,"32,789,507","12,260",65,"43,236,433"
Diplo,"32,632,948","98,085",95,"34,712,763"
Beéle,"32,428,715","159,300",142,"32,428,715"
Anuel AA,"32,422,172","-9,243",83,"35,286,500"
Alicia Keys,"32,419,292","46,738",101,"36,467,650"
Radiohead,"32,364,220","54,689",135,"32,364,220"
Akon,"32,255,363","58,213",128,"32,792,945"
Neton Vega,"32,160,805","53,813",147,"32,160,805"
Billy Joel,"32,128,030","139,777",132,"32,898,654"
ABBA,"32,109,168","103,696",105,"35,949,380"
Daniel Caesar,"32,066,534","42,629",69,"44,105,561"
Guns N' Roses,"31,842,207","36,062",132,"31,934,056"
d4vd,"31,838,470","145,241",94,"31,838,470"
Kygo,"31,834,060","-57,774",95,"37,407,823"
Macklemore,"31,799,930","7,017",99,"36,292,075"
Lil Baby,"31,730,854","16,237",76,"41,194,598"
Gigi Perez,"31,712,852","79,202",156,"31,712,852"
Sachin-Jigar,"31,701,715","36,996",125,"33,519,556"
Enrique Iglesias,"31,313,017","120,548",151,"31,313,017"
RAYE,"31,020,430","-45,137",70,"39,867,399"
Jason Derulo,"30,823,854","36,341",77,"39,368,590"
Tom Odell,"30,778,367","81,068",87,"38,447,142"
Christina Aguilera,"30,549,694","9,404",143,"34,034,008"
Gorillaz,"30,431,631","-102,798",54,"41,977,704"
Bon Jovi,"30,344,644","48,720",143,"30,883,021"
The Goo Goo Dolls,"30,205,236","12,776",161,"30,205,236"
Snoop Dogg,"29,900,459","50,313",109,"34,236,028"
Vishal-Shekhar,"29,896,403","47,481",160,"29,907,143"
Mark Ronson,"29,809,887","-48,424",131,"32,768,567"
Ava Max,"29,767,494","43,481",85,"42,954,408"
Juice WRLD,"29,692,023","-5,217",92,"39,483,073"
FloyyMenor,"29,494,382","108,472",66,"42,961,167"
Nelly Furtado,"29,108,798","100,215",159,"29,108,798"
Mariah Carey,"29,052,215","148,823",5,"100,610,625"
Jack Harlow,"29,039,735","-99,888",29,"59,210,566"
Miguel,"29,031,234","-11,790",80,"34,144,669"
Jennifer Lopez,"28,902,465","70,997",176,"28,902,465"
Amitabh Bhattacharya,"28,883,804","16,422",149,"30,111,225"
Lord Huron,"28,868,074","73,132",146,"31,623,501"
Florence + The Machine,"28,833,823","54,488",108,"35,434,529"
Whitney Houston,"28,804,394","36,421",135,"35,060,772"
JHAYCO,"28,627,171","-8,085",88,"34,794,173"
Childish Gambino,"28,362,596","-18,460",151,"30,712,179"
Young Thug,"28,355,468","73,575",97,"33,656,406"
Major Lazer,"28,286,356","81,282",132,"31,365,666"
Udit Narayan,"28,205,757","30,728",179,"28,205,757"
Paramore,"28,101,020","68,497",185,"28,101,020"
Tame Impala,"28,096,206","25,944",162,"28,367,463"
Cigarettes After Sex,"27,842,185","42,406",142,"31,412,056"
Cardi B,"27,760,345","27,626",84,"36,282,159"
Lil Tecca,"27,746,600","-56,361",176,"28,632,558"
Lily-Rose Depp,"27,696,316","11,066",117,"32,569,522"
Metallica,"27,505,353","33,019",144,"27,705,582"
Bizarrap,"27,457,849","12,520",28,"54,300,662"
Tanishk Bagchi,"27,454,883","97,446",165,"29,015,967"
KK,"27,405,893","75,348",195,"27,405,893"
Robin Schulz,"27,386,286","29,711",76,"34,908,935"
The Script,"27,269,890","154,038",197,"27,269,890"
Carin Leon,"27,205,415","-28,781",125,"32,386,759"
Creedence Clearwater Revival,"27,010,799","37,262",92,"38,637,577"
Noah Kahan,"26,882,730","-4,392",86,"37,900,933"
Alan Walker,"26,781,631","77,781",100,"33,218,914"
Lewis Capaldi,"26,651,525","23,184",66,"37,776,153"
Demi Lovato,"26,618,795","20,169",98,"33,320,815"
Mac Miller,"26,554,378","-4,491",173,"28,673,744"
G-Eazy,"26,520,110","-42,749",197,"26,847,604"
Clean Bandit,"26,437,666","93,133",167,"29,350,485"
The Rolling Stones,"26,379,292","60,323",138,"29,911,374"
Bob Marley & The Wailers,"26,341,146","77,059",170,"28,137,637"
GIVĒON,"26,254,855","-44,959",145,"30,904,678"
Lorde,"26,197,605","664,225",210,"26,197,605"
Tyla,"26,166,753","275,150",112,"34,775,358"
Kodak Black,"26,093,198","-5,556",99,"33,708,388"
The Killers,"26,088,280","10,439",178,"28,483,994"
Shaboozey,"25,902,857","179,071",110,"35,811,664"
DaBaby,"25,837,500","27,656",103,"32,070,946"
ZAYN,"25,750,568","-21,753",160,"28,851,598"
Lil Uzi Vert,"25,731,604","-113,901",67,"39,580,515"
BTS,"25,710,125","59,959",63,"40,741,916"
Lost Frequencies,"25,688,642","21,902",105,"36,503,461"
Megan Thee Stallion,"25,687,165","59,430",108,"35,834,865"
Junior H,"25,667,376","11,724",141,"28,903,235"
Irshad Kamil,"25,558,886","36,919",217,"25,558,886"
The Cranberries,"25,517,379","50,522",190,"27,044,375"
Atif Aslam,"25,320,173","35,447",216,"25,541,636"
AFROJACK,"25,293,989","-29,668",210,"25,828,416"
Zach Bryan,"25,230,511","-20,607",119,"34,463,168"
Central Cee,"25,218,670","-38,840",78,"40,321,501"
2Pac,"25,193,434","-9,165",187,"27,274,115"
Shilpa Rao,"24,995,751","-9,434",158,"28,394,666"
French Montana,"24,972,779","36,964",220,"25,515,389"
Danny Ocean,"24,909,057","38,216",187,"27,776,733"
Bee Gees,"24,885,061","65,662",158,"28,740,653"
Luke Combs,"24,853,181","-9,724",114,"34,881,535"
Shankar Mahadevan,"24,818,409","14,006",230,"24,818,409"
TOTO,"24,736,895","-58,042",147,"31,472,214"
Omar Courtz,"24,730,223","-42,725",143,"31,088,939"
Outkast,"24,722,838","7,559",203,"26,630,672"
Quevedo,"24,610,870","63,688",71,"38,182,790"
Phil Collins,"24,547,331","-26,857",228,"24,763,956"
Steve Lacy,"24,533,643","19,324",111,"31,029,345"
Chencho Corleone,"24,424,290","31,227",106,"31,161,386"
Arcángel,"24,333,119","-18,145",112,"29,918,189"
Journey,"24,289,238","22,470",201,"26,816,449"
Train,"24,275,768","109,961",171,"29,211,060"
Natasha Bedingfield,"24,207,026","39,603",165,"28,725,197"
beabadoobee,"24,184,454","117,441",198,"26,896,155"
Conan Gray,"24,161,162","16,929",167,"28,549,479"
Camilo,"24,137,546","-23,349",229,"24,620,494"
Sebastian Yatra,"24,110,879","11,851",137,"28,235,688"
Fall Out Boy,"24,078,803","32,452",129,"30,377,374"
Mithoon,"24,044,600","55,708",251,"24,044,600"
Pink Floyd,"23,993,521","11,252",232,"24,444,246"
Kid Cudi,"23,981,532","72,602",149,"29,550,228"
Zara Larsson,"23,931,147","104,818",162,"29,026,526"
Becky G,"23,922,147","-22,649",78,"36,514,621"
Bryan Adams,"23,913,702","117,538",231,"26,007,882"
Tito Double P,"23,845,775","-5,179",219,"25,021,549"
Himesh Reshammiya,"23,646,986","2,280",209,"25,666,667"
Troye Sivan,"23,632,338","2,589",107,"32,443,596"
Backstreet Boys,"23,576,963","110,110",205,"26,680,229"
Oscar Maydon,"23,559,403","13,918",174,"28,881,483"
Avril Lavigne,"23,530,321","3,742",214,"25,975,556"
Aerosmith,"23,514,557","46,985",201,"24,283,338"
Daft Punk,"23,500,187","32,394",225,"23,500,187"
Sunidhi Chauhan,"23,496,856","24,806",262,"23,496,856"
Dr. Dre,"23,465,827","53,809",194,"27,880,888"
Oasis,"23,405,049","20,789",130,"32,783,280"
"Earth, Wind & Fire","23,317,540","89,640",198,"26,595,110"
Alemán,"23,303,236","78,935",269,"23,303,236"
Trippie Redd,"23,248,647","-40,033",137,"31,720,053"
Vance Joy,"23,228,110","45,410",117,"32,405,324"
Mohit Chauhan,"23,172,353","10,123",267,"23,184,249"
Ryan Castro,"23,151,445","-71,470",171,"29,371,208"
Meghan Trainor,"23,129,894","26,619",69,"41,619,008"
Nickelback,"23,118,327","10,900",263,"23,366,875"
Myles Smith,"22,973,893","156,532",170,"28,960,193"
Tory Lanez,"22,968,796","-4,616",180,"26,498,835"
Sachet-Parampara,"22,951,986","24,190",277,"22,951,986"
Shankar-Ehsaan-Loy,"22,929,302","28,615",270,"23,088,031"
Alka Yagnik,"22,856,279","30,787",280,"22,856,279"
System Of A Down,"22,837,030","19,667",249,"24,010,200"
sombr,"22,794,396","288,681",282,"22,794,396"
Swedish House Mafia,"22,779,729","41,701",187,"26,245,665"
Chris Stapleton,"22,772,398","30,573",197,"26,834,473"
Sexyy Red,"22,767,749","-68,700",105,"36,995,746"
Rema,"22,739,334","59,149",60,"40,010,586"
Dei V,"22,737,988","-95,662",155,"29,780,833"
HUGEL,"22,730,035","50,857",288,"22,730,035"
Blessd,"22,701,939","-4,433",207,"26,439,074"
John Legend,"22,657,719","-41,879",107,"36,598,430"
Djo,"22,656,500","165,152",63,"44,239,817"
Disclosure,"22,630,431","69,835",253,"24,194,511"
Tainy,"22,570,689","44,224",91,"35,233,699"
TINI,"22,565,923","-3,295",290,"26,064,686"
Natanael Cano,"22,478,809","-84,020",159,"28,962,500"
Jess Glynne,"22,415,229","-178,740",222,"24,974,440"
Mitski,"22,343,630","46,037",71,"39,387,536"
Luis Fonsi,"22,328,711","48,961",214,"23,290,182"
Dominic Fike,"22,264,790","10,401",193,"26,663,756"
Young Miko,"22,255,012","80,767",105,"33,633,855"
WizTheMc,"22,165,556","366,183",301,"22,165,556"
Tyga,"22,146,764","-16,585",176,"25,118,039"
The Notorious B.I.G.,"22,135,971","-94,142",202,"25,886,768"
Arcane,"22,126,919","33,484",132,"33,507,367"
Eagles,"22,103,261","48,503",104,"38,461,042"
Parampara Tandon,"22,050,213","44,054",305,"22,050,213"
Alok,"21,994,705","40,464",123,"33,578,843"
Burna Boy,"21,953,470","75,272",244,"24,057,543"
Daryl Hall & John Oates,"21,928,606","3,534",133,"34,415,282"
bees & honey,"21,874,906","368,010",310,"21,874,906"
TV Girl,"21,849,617","26,852",255,"23,816,777"
Tears For Fears,"21,841,677","22,314",238,"24,307,146"
Martin Garrix,"21,833,680","-43,354",175,"23,962,214"
Nelly,"21,803,496","96,818",314,"21,803,496"
Kausar Munir,"21,771,072","10,024",311,"21,771,072"
Aventura,"21,705,513","10,403",282,"22,309,248"
Imogen Heap,"21,646,490","31,469",312,"21,646,490"
W Sound,"21,612,508","198,615",318,"21,612,508"
Dire Straits,"21,599,313","27,219",308,"21,599,313"
Panic! At The Disco,"21,562,583","36,293",165,"27,310,489"
Plan B,"21,549,176","57,365",301,"24,657,446"
ROSALÍA,"21,546,348","-45,713",47,"46,715,627"
El Alfa,"21,532,999","7,949",223,"23,914,135"
Anirudh Ravichander,"21,424,478","-15,828",114,"31,302,762"
Skrillex,"21,421,118","21,854",175,"23,635,431"
Ray Dalton,"21,333,967","27,909",277,"22,437,225"
Labrinth,"21,295,701","33,568",67,"36,829,106"
Felix Jaehn,"21,232,537","31,795",194,"24,535,929"
Chase Atlantic,"21,131,693","-28,444",263,"23,118,141"
Sonu Nigam,"21,115,430","-4,734",281,"22,741,063"
T-Pain,"21,098,500","-16,243",324,"21,218,974"
Javed Ali,"21,092,708","-2,448",295,"22,107,274"
The Lumineers,"21,024,343","46,947",165,"28,855,344"
Bastille,"21,021,696","17,412",183,"26,610,747"
DJ Khaled,"20,950,423","2,206",124,"29,389,696"
Vishal Mishra,"20,935,345","-5,676",227,"24,121,173"
Sech,"20,914,574","16,196",174,"23,591,625"
Wisin & Yandel,"20,883,655","3,634",173,"23,350,285"
Alphaville,"20,855,845","90,899",271,"22,723,241"
Bryson Tiller,"20,827,648","15,280",169,"28,259,185"
Yandel,"20,826,638","-5,259",126,"27,875,326"
Timbaland,"20,819,402","62,189",256,"21,725,657"
Måneskin,"20,786,724","33,121",134,"26,818,201"
Summer Walker,"20,762,706","31,618",167,"28,542,051"
Kings of Leon,"20,754,467","-1,688",241,"24,493,486"
Gabito Ballesteros,"20,722,824","-36,837",237,"24,111,439"
Chinmayi,"20,669,748","66,778",347,"20,669,748"
GloRilla,"20,655,261","-31,114",166,"28,822,517"
Evanescence,"20,651,729","38,474",349,"20,651,729"
yung kai,"20,619,901","46,441",324,"20,931,396"
Manoj Muntashir,"20,587,666","30,392",349,"20,587,666"
Keane,"20,573,989","120,154",314,"21,284,559"
Lil Durk,"20,561,656","-120,938",92,"34,773,282"
Macklemore & Ryan Lewis,"20,555,202","1,404",190,"25,456,801"
Jessie J,"20,492,181","53,918",304,"23,379,270"
Glass Animals,"20,407,333","79,643",132,"28,077,809"
CYRIL,"20,355,862","15,432",227,"25,127,423"
BigXthaPlug,"20,348,621","109,783",358,"20,348,621"
League of Legends,"20,330,876","37,080",226,"26,494,221"
Big Sean,"20,306,629","28,596",166,"29,499,746"
Calum Scott,"20,290,099","-13,546",131,"28,676,261"
Sachet Tandon,"20,280,987","39,979",361,"20,280,987"
Elvis Presley,"20,196,628","-3,553",57,"52,355,319"
Yo Yo Honey Singh,"20,174,617","-8,672",288,"22,069,295"
Bruce Springsteen,"20,159,970","-6,452",107,"38,727,164"
Lil Nas X,"20,145,609","29,256",61,"37,597,256"
Diljit Dosanjh,"20,118,025","-27,344",247,"23,839,106"
U2,"20,113,983","-22,678",233,"23,044,157"
NIKI,"20,095,282","272,517",369,"20,095,282"
DFZM,"20,079,074","146,268",370,"20,079,074"
5 Seconds of Summer,"19,977,817","6,562",205,"25,934,585"
The Offspring,"19,977,761","23,801",309,"21,326,758"
Led Zeppelin,"19,964,591","21,863",294,"20,489,383"
Nicki Nicole,"19,961,905","-58,883",173,"27,818,511"
Gabry Ponte,"19,916,434","-7,509",351,"20,100,905"
Luis R Conriquez,"19,912,960","-59,674",284,"22,621,146"
Amy Winehouse,"19,830,502","42,189",279,"22,846,644"
Amit Trivedi,"19,611,297","7,553",363,"19,965,129"
Mac DeMarco,"19,610,621","49,986",318,"20,710,634"
Brent Faiyaz,"19,588,603","-12,500",192,"25,902,758"
Badshah,"19,587,965","6,086",273,"23,042,104"
JID,"19,550,426","14,972",100,"34,163,239"
Eladio Carrion,"19,502,983","74,719",156,"26,738,598"
Topic,"19,481,075","53,658",343,"19,481,075"
Disturbed,"19,472,847","-16,137",286,"22,402,786"
Gwen Stefani,"19,430,440","86,340",131,"35,714,924"
Stevie Wonder,"19,426,441","26,851",114,"34,912,997"
Shaggy,"19,394,388","73,730",328,"19,394,388"
Marc Anthony,"19,346,759","55,906",389,"19,346,759"
Vishal Dadlani,"19,329,555","-11,008",307,"19,432,607"
Daya,"19,270,796","23,105",340,"20,492,260"
R.E.M.,"19,182,349","-23,173",332,"19,427,504"
Kapo,"19,181,364","-90,724",271,"22,915,853"
Lauv,"19,168,253","55,954",257,"22,804,645"
Anderson .Paak,"19,167,920","-18,580",197,"23,668,985"
Foo Fighters,"19,165,577","14,467",231,"23,378,244"
Jonas Brothers,"19,081,051","-64,891",119,"34,608,604"
Tommy Richman,"19,079,866","18,089",47,"50,755,802"
Mc Gw,"19,074,792","-19,769",238,"24,214,206"
Jombriel,"19,015,265","96,885",400,"19,015,265"
Marvin Gaye,"18,977,530","18,789",243,"22,903,088"
Tulsi Kumar,"18,882,678","40,923",346,"20,616,552"
Christian Nodal,"18,880,112","7,847",220,"24,683,573"
Stromae,"18,854,520","70,561",249,"25,659,827"
Kelly Clarkson,"18,827,808","-6,640",29,"64,847,712"
Reik,"18,803,078","42,978",253,"22,018,792"
MGMT,"18,798,640","56,222",407,"18,798,640"
Ayra Starr,"18,742,735","76,230",134,"32,190,133"
NLE Choppa,"18,730,733","-37,651",181,"24,991,591"
Gesaffelstein,"18,725,526","24,858",273,"18,995,025"
Rels B,"18,706,499","-3,565",239,"24,237,621"
LISA,"18,695,820","-16,790",191,"26,847,435"
Jelly Roll,"18,690,225","182,979",273,"23,529,805"
Artemas,"18,664,864","5,412",43,"53,546,898"
Dido,"18,654,777","21,718",307,"21,688,560"
Limp Bizkit,"18,615,396","64,598",416,"18,615,396"
Alesso,"18,609,127","36,574",259,"21,319,973"
Ruth B.,"18,588,039","54,586",224,"23,065,545"
Cyndi Lauper,"18,563,881","45,297",214,"25,807,659"
Amaal Mallik,"18,536,922","36,587",390,"19,443,427"
Jubin Nautiyal,"18,492,756","36,818",241,"22,249,499"
blink-182,"18,486,920","27,801",268,"22,103,116"
Dean Lewis,"18,483,647","21,993",266,"19,801,720"
Joji,"18,367,185","33,105",116,"29,284,554"
Zion & Lennox,"18,362,481","28,655",230,"22,169,487"
Gotye,"18,341,230","24,766",367,"18,956,932"
Clairo,"18,330,507","73,160",337,"20,395,711"
Juanes,"18,316,018","-5,337",332,"19,298,882"
Foster The People,"18,288,294","14,792",313,"22,182,297"
Jason Mraz,"18,259,836","126,921",282,"21,336,382"
FISHER,"18,156,998",85,382,"19,632,720"
Céline Dion,"18,126,321","31,883",105,"38,976,847"
Alessia Cara,"18,059,428","65,554",227,"25,204,710"
